variant,N,Q,beta,d_km,rho,x_r_argmax,kappa_ground,gap,imfrac,imfrac_ownmax,kappa_source,imfrac_source,washout_gap,p_kappa_floor,p_imfrac_floor,p_gap_raw,p_gap_scaled,near_deg_raw,near_deg_scaled,cell_class_raw,cell_class_scaled
primary,1024,5.0,0.1,250.0,0.85,68.5059,0.6012,9.809474e-23,0.6626,0.6684,,,,,,,,,,,
primary,1024,5.0,0.1,250.0,0.95,68.5059,0.6060,9.794789e-23,0.6767,0.6767,,,,,,,,,,,
primary,1024,5.0,0.2,100.0,0.7,68.2024,0.5063,1.897005e-21,0.6099,0.6099,,,,,,,,,,,
primary,1024,5.0,0.2,100.0,0.85,68.2024,0.5104,1.892813e-21,0.6176,0.6176,,,,,,,,,,,
primary,1024,5.0,0.2,100.0,0.95,68.2024,0.5121,1.874748e-21,0.6211,0.6211,,,,,,,,,,,
primary,1024,5.0,0.2,150.0,0.7,68.3035,0.5600,2.592271e-22,0.6207,0.6309,,,,,,,,,,,
primary,1024,5.0,0.2,150.0,0.85,68.3035,0.5729,2.554723e-22,0.6488,0.6488,,,,,,,,,,,
primary,1024,5.0,0.2,150.0,0.95,68.3035,0.5796,2.557795e-22,0.6633,0.6633,,,,,,,,,,,
primary,1024,5.0,0.2,250.0,0.7,68.5059,0.6516,2.416775e-23,0.6092,0.6127,,,,,,,,,,,
primary,1024,5.0,0.2,250.0,0.85,68.5059,0.6731,2.442432e-23,0.6655,0.6659,,,,,,,,,,,
primary,1024,5.0,0.2,250.0,0.95,68.5059,0.6825,2.466374e-23,0.6939,0.6939,,,,,,,,,,,
primary,1024,10.0,0.05,100.0,0.7,68.2024,0.4778,5.935031e-21,0.5911,0.5911,,,,,,,,,,,
primary,1024,10.0,0.05,100.0,0.85,68.2024,0.4791,5.992862e-21,0.5938,0.5938,,,,,,,,,,,
primary,1024,10.0,0.05,100.0,0.95,68.2024,0.4798,5.977970e-21,0.5950,0.5950,,,,,,,,,,,
primary,1024,10.0,0.05,150.0,0.7,68.3035,0.5407,8.645241e-22,0.6359,0.6359,,,,,,,,,,,
primary,1024,10.0,0.05,150.0,0.85,68.3035,0.5434,8.674695e-22,0.6421,0.6421,,,,,,,,,,,
primary,1024,10.0,0.05,150.0,0.95,68.3035,0.5446,8.633938e-22,0.6450,0.6450,,,,,,,,,,,
primary,1024,10.0,0.05,250.0,0.7,71.0353,0.5914,1.024964e-22,0.6541,0.6541,,,,,,,,,,,
primary,1024,10.0,0.05,250.0,0.85,68.5059,0.6009,9.825817e-23,0.6625,0.6686,,,,,,,,,,,
primary,1024,10.0,0.05,250.0,0.95,68.5059,0.6058,9.862811e-23,0.6766,0.6766,,,,,,,,,,,
primary,1024,10.0,0.1,100.0,0.7,68.2024,0.5065,1.896133e-21,0.6101,0.6101,,,,,,,,,,,
primary,1024,10.0,0.1,100.0,0.85,68.2024,0.5104,1.873286e-21,0.6175,0.6175,,,,,,,,,,,
primary,1024,10.0,0.1,100.0,0.95,68.2024,0.5123,1.883470e-21,0.6213,0.6213,,,,,,,,,,,
primary,1024,10.0,0.1,150.0,0.7,68.3035,0.5602,2.562750e-22,0.6203,0.6310,,,,,,,,,,,
primary,1024,10.0,0.1,150.0,0.85,68.3035,0.5734,2.562527e-22,0.6491,0.6491,,,,,,,,,,,
primary,1024,10.0,0.1,150.0,0.95,68.3035,0.5797,2.557205e-22,0.6634,0.6634,,,,,,,,,,,
primary,1024,10.0,0.1,250.0,0.7,68.5059,0.6521,2.408835e-23,0.6090,0.6131,,,,,,,,,,,
primary,1024,10.0,0.1,250.0,0.85,68.5059,0.6725,2.436970e-23,0.6652,0.6658,,,,,,,,,,,
primary,1024,10.0,0.1,250.0,0.95,68.5059,0.6827,2.455265e-23,0.6939,0.6939,,,,,,,,,,,
primary,1024,10.0,0.2,100.0,0.7,68.2024,0.5372,4.924624e-22,0.6079,0.6079,,,,,,,,,,,
primary,1024,10.0,0.2,100.0,0.85,68.2024,0.5530,4.820165e-22,0.6371,0.6371,,,,,,,,,,,
primary,1024,10.0,0.2,100.0,0.95,68.2024,0.5610,4.796307e-22,0.6523,0.6523,,,,,,,,,,,
primary,1024,10.0,0.2,150.0,0.7,68.3035,0.6291,5.571063e-23,0.6045,0.6084,,,,,,,,,,,
primary,1024,10.0,0.2,150.0,0.85,68.3035,0.6564,5.591288e-23,0.6624,0.6624,,,,,,,,,,,
primary,1024,10.0,0.2,150.0,0.95,68.3035,0.6672,5.597101e-23,0.6912,0.6912,,,,,,,,,,,
primary,1024,10.0,0.2,250.0,0.7,76.6001,0.6504,4.806320e-24,0.5462,0.5688,,,,,,,,,,,
primary,1024,10.0,0.2,250.0,0.85,59.3999,0.6199,3.452687e-24,0.6067,0.6219,,,,,,,,,,,
primary,1024,10.0,0.2,250.0,0.95,59.3999,0.6123,3.567579e-24,0.6605,0.6605,,,,,,,,,,,
primary,1024,20.0,0.05,100.0,0.7,68.2024,0.5066,1.889135e-21,0.6102,0.6102,,,,,,,,,,,
primary,1024,20.0,0.05,100.0,0.85,68.2024,0.5103,1.873808e-21,0.6175,0.6175,,,,,,,,,,,
primary,1024,20.0,0.05,100.0,0.95,68.2024,0.5122,1.886960e-21,0.6212,0.6212,,,,,,,,,,,
primary,1024,20.0,0.05,150.0,0.7,68.3035,0.5613,2.576781e-22,0.6213,0.6309,,,,,,,,,,,
primary,1024,20.0,0.05,150.0,0.85,68.3035,0.5731,2.571414e-22,0.6490,0.6490,,,,,,,,,,,
primary,1024,20.0,0.05,150.0,0.95,68.3035,0.5798,2.570520e-22,0.6635,0.6635,,,,,,,,,,,
primary,1024,20.0,0.05,250.0,0.7,68.5059,0.6524,2.390020e-23,0.6087,0.6128,,,,,,,,,,,
primary,1024,20.0,0.05,250.0,0.85,68.5059,0.6731,2.421567e-23,0.6651,0.6659,,,,,,,,,,,
primary,1024,20.0,0.05,250.0,0.95,68.5059,0.6828,2.454386e-23,0.6940,0.6940,,,,,,,,,,,
primary,1024,20.0,0.1,100.0,0.7,68.2024,0.5367,4.873248e-22,0.6070,0.6070,,,,,,,,,,,
primary,1024,20.0,0.1,100.0,0.85,68.2024,0.5531,4.824053e-22,0.6373,0.6373,,,,,,,,,,,
primary,1024,20.0,0.1,100.0,0.95,68.2024,0.5610,4.781040e-22,0.6523,0.6523,,,,,,,,,,,
primary,1024,20.0,0.1,150.0,0.7,68.3035,0.6299,5.541619e-23,0.6043,0.6078,,,,,,,,,,,
primary,1024,20.0,0.1,150.0,0.85,68.3035,0.6570,5.563379e-23,0.6621,0.6621,,,,,,,,,,,
primary,1024,20.0,0.1,150.0,0.95,68.3035,0.6677,5.542298e-23,0.6912,0.6912,,,,,,,,,,,
primary,1024,20.0,0.1,250.0,0.7,76.6001,0.6536,4.799572e-24,0.5464,0.5699,,,,,,,,,,,
primary,1024,20.0,0.1,250.0,0.85,59.3999,0.6194,3.460422e-24,0.6065,0.6223,,,,,,,,,,,
primary,1024,20.0,0.1,250.0,0.95,59.3999,0.6128,3.582901e-24,0.6608,0.6608,,,,,,,,,,,
primary,1024,20.0,0.2,100.0,0.7,66.3811,0.6328,8.394357e-23,0.6016,0.6042,,,,,,,,,,,
primary,1024,20.0,0.2,100.0,0.85,66.3811,0.6652,8.343604e-23,0.6615,0.6615,,,,,,,,,,,
primary,1024,20.0,0.2,100.0,0.95,66.3811,0.6769,8.379451e-23,0.6921,0.6921,,,,,,,,,,,
primary,1024,20.0,0.2,150.0,0.7,73.1601,0.6518,9.090804e-24,0.5307,0.5583,,,,,,,,,,,
primary,1024,20.0,0.2,150.0,0.85,73.1601,0.6198,9.507415e-24,0.6151,0.6151,,,,,,,,,,,
primary,1024,20.0,0.2,150.0,0.95,62.8399,0.6069,7.911180e-24,0.6574,0.6574,,,,,,,,,,,
primary,1024,20.0,0.2,250.0,0.7,63.9529,0.4393,6.887955e-25,0.3279,0.4454,,,,,,,,,,,
primary,1024,20.0,0.2,250.0,0.85,59.3999,0.4067,6.687752e-25,0.4285,0.4634,,,,,,,,,,,
primary,1024,20.0,0.2,250.0,0.95,59.3999,0.3875,7.228756e-25,0.4776,0.4776,,,,,,,,,,,
widelon,64,5.0,0.05,100.0,0.7,68.2024,0.3995,3.895244e-20,0.5175,0.5175,,,,,,,,,,,
widelon,64,5.0,0.05,100.0,0.85,68.0000,0.3997,3.856877e-20,0.5180,0.5180,,,,,,,,,,,
widelon,64,5.0,0.05,100.0,0.95,68.2024,0.3998,3.892905e-20,0.5182,0.5182,,,,,,,,,,,
widelon,64,5.0,0.05,150.0,0.7,68.3035,0.4768,7.732767e-21,0.5914,0.5916,,,,,,,,,,,
widelon,64,5.0,0.05,150.0,0.85,68.3035,0.4774,7.756780e-21,0.5927,0.5927,,,,,,,,,,,
widelon,64,5.0,0.05,150.0,0.95,68.3035,0.4776,7.818950e-21,0.5932,0.5932,,,,,,,,,,,
widelon,64,5.0,0.05,250.0,0.7,69.0118,0.5572,8.159362e-22,0.6504,0.6504,,,,,,,,,,,
widelon,64,5.0,0.05,250.0,0.85,68.5059,0.5578,8.104266e-22,0.6525,0.6530,,,,,,,,,,,
widelon,64,5.0,0.05,250.0,0.95,69.0118,0.5584,8.090343e-22,0.6546,0.6546,,,,,,,,,,,
widelon,64,5.0,0.1,100.0,0.7,68.2024,0.4515,1.413227e-20,0.5684,0.5684,,,,,,,,,,,
widelon,64,5.0,0.1,100.0,0.85,68.2024,0.4524,1.414629e-20,0.5701,0.5701,,,,,,,,,,,
